Year,Police Service,City,Province,Investigation Final Decision
2017,Toronto Police Service,Toronto,Ontario,"It is, of course, pure speculation to attempt to determine what was in the mind of the Complainant when he chose to jump, or fell, out of a 15th story window. Although there is evidence that the Complainant was wanted in connection with a breach of his probation order, it is beyond the scope of this investigation, nor is it necessary, to determine why, or even how, the Complainant jumped or fell from the 15th floor or even if he had intended to cause his own death by doing so."
2016,Toronto Police Service,Toronto,Ontario,"Accordingly, despite the Complainant’s unfortunate injury, there are no reasonable grounds to proceed with charges in this case."
2016,Halton Regional Police Service,,Ontario,"In all the circumstances however, the totality of the evidence makes it clear that the injury suffered by this youth resulted from his inexperience and inattention, and were not related to any actions taken by the SO. Accordingly, no charges will issue."
2016,Toronto Police Service,,Ontario,"It is not in dispute that the Complainant was holding the metal barbell at the time the SO entered his bedroom. The Complainant’s version of events differs from the officers regarding when he dropped the barbell and the SO’s distance from him when the CEW was deployed. I have significant concerns about the reliability of the Complainant’s recollections of the events, however, given his highly agitated state and his observed incoherence both before and after the incident."
2016,Toronto Police Service,St. Clair,Ontario,"Before concluding, however, I believe that it is worthy of note that the SO considered all options in dealing with the Complainant and rejected the use of his baton, due to the speed with which things were moving, and, more importantly, rejected a lethal use of force. Despite the repeated and panicked screams by WO #9 for the SO to “Get your gun”, the SO resisted that impulse in consideration of the deadly outcome if he resorted to his firearm in a case where all three parties were in such close proximity. Although from a distance it may have appeared to civilian bystanders that the SO was using excessive force when he repeatedly punched the Complainant in the face, it is clear and I find that he only struck the Complainant up until the point in time when he lost consciousness and relinquished his hold on the firearm and that he did not continue after the danger had passed, as confirmed by several of the civilian witnesses. All in all, I find that unlike the unfortunate outcomes of many police interactions with persons suffering from mental health issues, the SO considered all of his options, kept a level head and thereby possibly prevented a loss of life. It is unfortunate that the Complainant suffered the serious injury that he did, but on the whole, the outcome could have been far worse if not for the quick thinking and actions of the SO."
2016,St. Thomas Police Service,,Ontario,"With respect to the amount of force used by the SO in his attempts to subdue the Complainant, I find that his actions were justified in the circumstances and that he used no more force than necessary to subdue the Complainant who was clearly resisting being handcuffed. I also find that the injuries to the Complainant’s shoulder and hand were more than likely caused prior to his ever coming into contact with the SO; however, even if it were caused by the efforts of the SO to subdue the Complainant, which I find to be extremely unlikely, I cannot find that to have been an excessive use of force. On this record, it is clear that the force used by the SO progressed in a measured and proportionate fashion to meet and overcome the Complainant’s resistance, and fell within the range of what was reasonably necessary in the circumstances to effect his lawful detention. The jurisprudence is clear, officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206)."
2016,,Sault Ste. Marie,Ontario,"On May 31, 2016, a post-mortem examination was conducted. The cause of death was determined to be a gunshot wound to the head and brain."
2016,York Regional Police,,Ontario,"Thus, I find on the record before me that the statement from the Complainant falls far short of the standard of reasonable grounds to believe that an offence of assault or assault causing bodily harm has been committed."
2016,,Sault Ste. Marie,Ontario,"During his interview with the SIU, WO #4 indicated that it is his practice to make detailed memo book notations; however, despite his contention that he followed the protocol of SSMPS with respect to the safe storage for duty notebooks which are stored either in the officer’s personal locker or outside the staff sergeant’s office in a mail slot, his memo book was missing and at the time of writing, the memo book of WO #4 has not been located. Thus, timely, potentially corroborating evidence has been lost in this case. This is not only unfortunate, but could in some circumstances affect the SIU’s ability to confirm or probe the accuracy of the WO’s statement, particularly where notification of a possible injury has been delayed. I will forward a letter to SSMPS Chief of Police to address setting up a more stringent protocol to prevent a similar situation in the future."
2016,Ontario Provincial Police,Mattawa,Ontario,"And in a similar vein, the Ontario Court of Appeal in R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) ruled that officers are not expected to measure the degree of their responsive force to a nicety."
2016,,Toronto,Ontario,"At 6:13 a.m., the SO placed a radio call to the Police Dispatcher requesting a rush on an ambulance and indicated that the firearm had been recovered. WO #3 could not detect the Complainant’s pulse; however, WO #3 continued to perform CPR until Toronto Fire Department personnel and paramedics arrived on scene at 6:14 a.m. A back-up paramedic unit was requested and a cardiac monitor was attached, which revealed that the Complainant still had a heart rhythm. Defibrillation pads were attached to the Complainant. The Complainant was placed in the ambulance at 6:17 a.m. The SO was in the ambulance with two firefighters, two paramedics, and a paramedic supervisor. The ambulance arrived at the hospital at 6:42 a.m., and at 6:45 a.m., the Complainant was pronounced dead."
2016,,Central Elgin,Ontario,"Section 25(1) of the Criminal Code limits the force an officer may use to that which is reasonably necessary in the circumstances in the execution of their lawful duties. The WO and SO engaged in a struggle with the Complainant to such an extent that the WO attempted to control the Complainant in a headlock and the SO cautioned she would use her conducted energy weapon (CEW) if he did not cooperate. The jurisprudence has clearly stated that the standard to which officers are to be held is not perfection (R. v. Nasogaluak, [2010] 1 S.C.R. 206) nor are they expected to measure the degree of their responding force to a nicety (R. v. Baxter (1975), 27 C.C.C. (2d) 96 (Ont. C.A.)). Although the evidence suggests that it was likely the manner in which the SO manipulated the Complainant’s left arm that resulted in it dislocating, I do not have reasonable grounds to form a belief that the SO pulled his left arm behind his back in a manner outside of her training or with more force than was reasonably necessary to complete his handcuffing given the circumstances."
2016,Toronto Police Service,Toronto,Ontario,"On a review of all of the evidence, only the physical evidence is able to support this secondary version of events. The injury is as consistent with the secondary version of events as it is with the first. However, there are no independent witnesses to support the secondary version of events, and the one witness who may have been in a position to do so, declined to speak with investigators."
2016,Waterloo Regional Police Service,Cambridge,Ontario,"In my view, there is no evidentiary basis for a finding of excessive force by the SO or any of the other involved officers. Section 25(1) of the Criminal Code limits the force an officer may use to that which is reasonably necessary in the circumstances in the execution of their lawful duties. According to WO #1, WO #2 and WO #4, the Complainant was not grounded or struck by any officer, nor was his left arm manipulated in any manner other than to apply handcuffs. He was never taken down to the ground during the arrest process. Unfortunately, there were no civilian witnesses or video recordings of the Complainant’s arrest, and he had no memory of the event. The CCTV recordings from the pub depicted a violent physical confrontation between the Complainant and CW #1, in which the Complainant fell backwards at one point after being kicked and braced his landing with his outstretched arms. This is most likely when his injury occurred. Based on the available evidence, it is clear that the force applied by the involved officers in their encounter with the Complainant cannot be attributed to his wrist injury, and was so minimal that it raises no concerns of excessive force."
2016,London Police Service,London,Ontario,"The jurisprudence makes clear, while their conduct in question must be commensurate with the task at hand, police officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) or to be judged against a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206). In general, the more significant the resistance, the greater the necessity for significant responsive force."
2016,Sarnia Police Service,Sarnia,Ontario,"According to the prisoner log, the Complainant’s cell was checked on nine occasions between the time he was lodged, at approximately 8:40 p.m., and when WO #3 opened the cell door to release him at 7:10 a.m. During that time frame the Complainant was apparently sleeping from 12:45 a.m. until the time that WO #3 attempted to wake him at 7:10 a.m. While the policy mandated officers to check on intoxicated persons every 30 minutes, and the log indicates that checks were made closer to one hour and on several occasions up to one and one half hours apart, I infer from the fact that WO #4 was called in to work an overtime shift to assist WO #2, that the police service was understaffed at the relevant time and it was likely a busy night. As such, although the actual visual checks at the cell door may have been less than ideal, I cannot find the delay of 30 - 60 minutes between the recommended cell checks as indicating “a wanton or reckless disregard for the lives and safety of others”. Additionally, as the video from outside the cell was unavailable for viewing and there is evidence that, despite the lack of actual physical cell checks, that WO #2 was able to monitor the prisoners from a video monitor, I am unable to determine definitively how many times the Complainant was actually observed either in person through the cell window or by anyone watching from the live video monitor."
2016,,,Ontario,"While it is regrettable that the Complainant’s arm was broken during her interaction with SO #1 and SO #2 and the other officers, on a review of the totality of the evidence, I cannot conclude that the officers used more force than was reasonably necessary in the circumstances. Accordingly, there are no reasonable grounds to believe that SO #1 and SO #2 exceeded the ambit of justifiable force in the circumstances. Consequently, no charges will be laid against either subject officer in this case."
2016,,Sarnia,Ontario,"I appreciate that the Complainant suffers from serious mental health issues; however, there was no possibility of reasoning with him, or talking him through his mental state. The police were faced with a violent, dynamic and unpredictable situation, and they took all reasonable steps to disarm and control the Complainant. In the circumstances, I conclude that the SO’s baton strike which unfortunately broke the Complainant’s elbow did not fall outside the range of what was reasonable necessary to attempt to disarm and subdue the Complainant and take him into custody. The jurisprudence makes clear, while their conduct in question must be commensurate with the task at hand, police officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) or to be judged against a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206). Accordingly, there are no reasonable grounds to proceed with charges in this case and no charges will issue."
2017,,Oxford,Ontario,"On that basis, it seems trite to say that there are no reasonable grounds to believe that any criminal offence has been committed by any officer involved with the Complainant. In the final analysis, there is no basis for the laying of criminal charges."
,,Hamilton,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful and that there is no evidence of any causal connection between the actions of the police officers who apprehended the Complainant and his subsequent medical condition. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case. No charges will issue."
2016,Ontario Provincial Police,Brant,Ontario,"In the final analysis, the Complainant’s injuries were caused by his decision to run away from the SO (who was appropriately questioning him and his associate) into northbound Brant St. traffic. That decision was not the result of the SO’s action or that of any other police officer present at the time. There are no grounds for proceeding with charges in this case. Thus no charges will issue."
2016,,,Ontario,"On that basis, it seems trite to say that there are no reasonable grounds to believe that any criminal offence has been committed by any officer involved with the Complainant. It is clear that they went into the home without personal protective gear and risked their safety despite the hazards in an attempt to save the Complainant’s life. These officers went over and above their duties by entering the house to try and save the Complainant’s life and should be commended for their efforts to save the complainant, despite the unfortunate outcome. In the final analysis, there is no basis for the laying of criminal charges."
2016,Saugeen Shores Police Service,Elgin,Ontario,"In conclusion, I am satisfied on reasonable grounds that the actions resorted to by the SO which resulted in the Complainant’s fractured jaw were in self-defence and were justified pursuant to s.34(1) of the Criminal Code, while the scalp injury which was caused when the fleeing Complainant was tackled to the ground was justified pursuant to s.25(1) of the Criminal Code and that both fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2016,Ontario Provincial Police,Aurora,Ontario,"I am satisfied on this record that the SO was acting lawfully when he first attempted to stop the Toyota van in order to bring an abduction to an end and that his conduct thereafter fell within the limits of care prescribed by the criminal law. Accordingly, there are no grounds for proceeding with charges against this officer."
2016,,Thunder Bay,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered, even were I to find that the police officers caused the injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the police officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,,Ontario,"With respect to the amount of force used by the SO in his attempt to apprehend the Complainant, I find that his action in grabbing onto the Complainant was more than justified in the circumstances and that he used no more force than necessary to apprehend the Complainant, who was clearly intent on fleeing with the stolen property. I find that the degree of force with which the Complainant’s head struck the ground may have been greater than intended by the SO, as the momentum of the SO’s running, combined with the sudden stop by the Complainant, caused the Complainant and the SO to collide and both fell to the pavement, resulting in the Complainant injuring his face. While it is less than certain that the Complainant’s nose was broken in the fall, even if it were caused by the efforts of the SO to apprehend a fleeing individual, I cannot find that to have been an excessive use of force. The relevant case law with respect to use of force is very clear, officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) nor should they be judged to a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206)."
2016,,Toronto,Ontario,"In the final analysis, I find absolutely no grounds upon which to find any basis for any criminal conduct by any of the many emergency personnel who attended the apartment building to attempt to assist the Complainant. On the contrary, by all accounts, the efforts of police and ambulance personnel, with specific recognition of the efforts of WO #6 and the 911 dispatcher, were commendable and in the finest traditions of the police and other emergency resources."
2016,London Police Service,,Ontario,"With respect to the amount of force used by the SO in his attempt to subdue the Complainant, I find that the actions of the SO, as clearly shown in the security video, were justified in the circumstances and that he used no more force than necessary to subdue the Complainant who was actively resisting the SO in his attempts to handcuff and remove the Complainant from the hospital. It is clear from the video that the SO was having difficulty gaining control of the Complainant and that his actions were in response to a fast moving situation where he was alone with the Complainant and responding to the Complainant’s active physical resistance to his arrest. The courts have been very clear with respect to the amount of force which is permissible when an officer is carrying out his lawful duties and that officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) nor should they be judged to a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206). Although I am unable to definitely determine the source of the Complainant’s injury, if it was caused by the actions of the SO in attempting to take control and effect the arrest of the Complainant, I cannot find that to have been an excessive use of force. On this record, it is clear that the force used by the SO progressed in a measured and proportionate fashion to meet and overcome the Complainant’s resistance and surprising strength, and fell within the range of what was reasonably necessary in the circumstances to effect his lawful detention."
2016,Ontario Provincial Police,Huntsville,Ontario,"It is notable that at no time were any allegations made against any police officers by the Complainant, with respect to any inappropriate actions on their part, and she herself attributed her injury to having taken “a few tumbles”. On a review of all of the evidence I am satisfied on reasonable grounds that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2016,Ontario Provincial Police,Horton,Ontario,"It is clear that the SO was legally entitled to stop the CW’s motor vehicle for his obvious erratic driving, pursuant to s.216(1) of the Highway Traffic Act. The SO was lawfully engaged in his duty when he signaled for the vehicle to stop. The CW, due to his own desire to evade responsibility, chose to speed off and was solely responsible for the subsequent crash. The collision was in no way in response to the SO pursuing the CW’s vehicle as, the collision occurred prior to the SO having even had any opportunity to pursue the vehicle."
2016,Guelph Police Service,Guelph,Ontario,"The jurisprudence makes clear, while using force the police conduct in question must be commensurate with the task at hand. However, police officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.) or to be judged against a standard of perfection (R. v. Nasogaluak [2010] 1 S.C.R. 206). SO #2 was entitled to use reasonable force to get the Complainant to comply with the demand to give up his hands for handcuffing during the course of a legal (however imprudent) arrest. One strike to the ribs in this context when the arrested party resists being handcuffed would not be unreasonable and would not constitute excessive force."
2016,Ottawa Police Service,Ottawa,Ontario,"Pursuant to section 25(1) of the Criminal Code, police officers are restricted in their use of force to that which is reasonably necessary in the execution of a lawful duty. Turning first to the lawfulness of the Complainant’s apprehension, it is clear from the statement of several civilian witnesses that the Complainant was being loud, swearing, screaming and causing a disturbance in a public place (contrary to 175(1) of the Criminal Code) outside of the residence. Additionally, he was tying up the 911 dispatcher, as well as numerous police personnel, by continually contacting 911 when he had clearly been told on numerous occasions by numerous police officers that his matter was one that he would have to deal with in civil court and that he was to cease and desist calling 911 and tying up valuable police resources. On that basis, the officers also had reasonable grounds to arrest the Complainant for committing the offence of public mischief contrary to s. 140 of the Criminal Code. As such, the arrest and apprehension of the Complainant was legally justified in the circumstances."
2016,,,Ontario,"On an overview of all of the evidence, it is clear that the Complainant suffered a brain hemorrhage earlier in the evening of May 9th, 2016, after which she drove a friend home and then became confused. Due to her erratic driving, she first came to the attention of the CW, who then contacted the SO. WO #2 also attended to assist. On all of the evidence before me, it appears that the Complainant had already experienced a brain hemorrhage prior to any involvement with police and that the police, in dealing with her, showed nothing but kindness and patience and did everything they could to assist the Complainant. There was no outward indication that the Complainant required medical attention until she vomited, at which point an ambulance was immediately called and she was transported to hospital. According to the coroner who reviewed the matter, nothing police or anyone else did could have affected the outcome of this matter and the Complainant eventually succumbed to the brain hemorrhage and passed away days later."
2016,Peterborough Police Service,Peterborough,Ontario,"Subject to subsections (4) and (5), a person is not justified for the purposes of subsection (1) in using force that is intended or is likely to cause death or grievous bodily harm unless the person believes on reasonable grounds that it is necessary for the self-preservation of the person or the preservation of any one under that person’s protection from death or grievous bodily harm."
2016,,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered, even were I to find that the officers caused the injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,,Peterborough,Ontario,"I find that there is no evidence that the SO’s driving created a danger to other users of the roadway. At no time did he interfere with any other traffic, of which there was very little at that time of day, and the weather was clear and the road conditions were good, as revealed in the photos taken following the collision. While it may well be that the complainant might not have attempted to take the off-ramp at the speeds with which he did and lost control of his vehicle, were he not attempting to evade police, I find that his injuries were of his own making in that he was already driving at dangerous speeds before he even noticed the SO and, in his attempt to flee, he continued on in the same vein."
2016,Ontario Provincial Police,,Ontario,"It may well be that WO #2, who responded by driving towards the residence immediately upon becoming aware of the 911 call from the CW, could have prevented the suicide of the Complainant if he had immediately attended the Complainant’s home, which had been his initial plan until he was directed to attend on the CW. On the other hand, WO #2 could have himself been killed or been involved in killing the Complainant. With the information provided by the CW, that the Complainant was in possession of a firearm, it would have been foolhardy to rush in without taking the proper precautions. It is not unusual, unfortunately, for suicidal persons to resort to what has been euphemistically referred to as “suicide by cop” and it was incumbent on the officers tasked with overseeing this critical incident to ensure not only the safety of the public, including the Complainant, if possible, but to also ensure that the officers under their command take every precaution to ensure their own safety."
2016,Toronto Police Service,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he may have suffered. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case and no charges will issue."
2016,Ontario Provincial Police,Bancroft,Ontario,"The SO was a trained crisis negotiator. He had one opportunity to speak with the Complainant on the phone about 20 minutes prior to the sound of the gunshot. Regrettably, the SO’s efforts to convince the Complainant to turn himself over to the officers positioned outside his residence were unsuccessful. The SO has a common law duty as a police officer to protect and preserve life. His apparent verbal attempts to resolve the incident by trying to convince the Complainant to present himself peacefully to the police was professional, well-intentioned and consistent with that duty."
2016,,,Ontario,"In light of the close confines, the danger to the officers from a man who had been described as armed with both a firearm and a large knife, and the speed with which things were moving, as well as the man appearing to be under the influence of some type of illegal substance which made his reactions both odd and unpredictable, it was crucial that the Complainant be apprehended as expeditiously as possible. Unfortunately, officers do not always have the luxury of proceeding slowly and cautiously in these precarious situations."
2016,Greater Sudbury Police Service,,Ontario,"With respect to the amount of force used by the SO in attempting to take custody of the Complainant and to thwart him in his intention of taking his own life, I find that his actions were justified in the circumstances and that he used no more force than necessary to apprehend the Complainant, who was clearly out of control and not thinking clearly due to the consumption of illegal narcotics. In light of the fact that he had already made statements to the SO that it was his intention to end his life by jumping into traffic, that he then began to act on that statement despite the efforts of the SO to reason with him, and that he was ignoring the SO’s commands to stop, it was incumbent on the SO to do everything in his power to prevent the Complainant from acting on his threat. Further, in light of the Complainant’s violent opposition to being taken to hospital and his combative and aggressive behaviour towards both the paramedics and the SO, I find that if his injury occurred when he fell to the ground with the SO, and he landed on top of him, the SO was using only as much force as was necessary in the circumstances and he was duty bound to do so to prevent the Complainant harming himself or taking his own life. On this record, it is clear that the force used by the SO progressed in a measured and proportionate fashion to meet and overcome the Complainant’s resistance and his desire to end his own life, and fell within the range of what was reasonably necessary in the circumstances to effect his lawful detention."
2016,Halton Regional Police Service,Oakville,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s arrest and detention, and the manner in which they were carried out, were lawful notwithstanding whether the injury which he suffered, may have been as a consequence of the CEW deployment (which is not certain). I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officer fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case, and no charges will issue."
2016,Toronto Police Service,,Ontario,"When the officers arrived at the apartment, the complainant was in her bedroom and CW #1 was in the living room. SO #2 went to the bedroom to speak to the complainant. The complainant was either asleep or unconscious at the time. When the complainant awoke, she was aggressive with SO #2 and refused to cooperate. She was extremely intoxicated. SO #1 entered the room, and both officers attempted to take hold of the complainant, one on each arm. The complainant hit SO #2 and pulled her own arm back, preventing SO #2 from taking hold of her. The officers struggled to take control of the complainant, who continued to actively resist. SO #2 stated that the complainant then fell to the floor in the course of the struggle on the bed. SO #1 stated that they pulled the complainant off the bed and she immediately went to her knees, stretched out on the floor face down and continued to thrash and struggle. Given the broken nose the complainant sustained, the small and contained blood stain on the carpet, the struggle occurring on the bed, and the complainant’s extreme intoxication, I believe SO #2’s recollection to be more accurate."
2016,Ontario Provincial Police,Sioux Lookout,Ontario,"Despite these concerns, I am mandated to determine whether police, in their interaction with the Complainant, used excessive force and thereby caused her injury. On a review of all of the evidence before me, and paying particular attention to the evidence of CW #3 and CW #5 who confirm the evidence of WO #2footnote 1[1], I am unable to find that there are reasonable grounds to believe that the injury to the Complainant was caused by her interaction with police. The evidence is clear in that neither police officer ever entered the motel room as alleged nor was there any physical force used by either officer towards either the Complainant or CW #2, as both were cooperative with police and were handcuffed and lodged in the cruiser without incident."
2016,,Niagara,Ontario,"On all of the evidence before me, I cannot find that the officers resorted to an excessive use of force in overcoming the resistance of a possibly armed and known to be violent male who first fled and then was actively resisting officers’ attempts to gain control of his hands and affect his lawful detention."
2016,Barrie Police Service,,Ontario,"On this evidence, and as clearly seen on the cell video, it appears that the complainant was actively resisting the best efforts of the officers to ensure that he was safely lodged in a cell until sober. Despite the actions of the officers, the complainant somehow managed to place his left hand in harm’s way after the officers had successfully removed his right hand and closed the door."
,Ontario Provincial Police,,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the complainant’s apprehension and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am, therefore, not only satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and that there are no grounds for proceeding with charges in this case, but also that the actions of all officers ultimately saved the complainant’s life."
,,,Ontario,"On a review of the evidence, it is clear that the SO was at all times driving at a rate of speed below the speed limit, presumably to take into account the poor road and weather conditions, and there is no evidence whatsoever that could lead to the conclusion that his driving could amount to a marked departure from the standard of care exercised by a reasonable person. In all of the circumstances in this matter, including the fact that the SO was driving at speeds below the speed limit, was taking into account the road and weather conditions, was apparently aware of and perhaps distracted momentarily by other users of the roadway, including the female and male passenger running across Richmond Street and causing another motor vehicle to have to brake hard to avoid a collision, and the fact that his motor vehicle made contact with a pedestrian, I cannot find fault with the SO or his driving. It is clear that the claimant stepped out into traffic in poor weather and lighting conditions where there was no crosswalk and no traffic controls."
2016,Niagara Regional Police Service,Welland,Ontario,"In my view, there is no evidentiary basis for a finding of excessive force by the SO. Pursuant to section 25(1) of the Criminal Code, officers are limited in their use of force to that which is reasonably necessary in the execution of their duties. The only force employed by the SO was the two deployments of his CEW. Faced with an intoxicated, angry and aggressive complainant, who had been involved in very recent violent altercations, was not following direction and continued to make threats, I am satisfied that the force used by the SO was reasonable to prevent further harm by the complainant. It is highly probable that the complainant received the brain bleed on the evening in question, most likely from either falling down the stairs or his physical confrontation with CW #2, but in any event, there was no evidence to suggest this injury was caused at the hands of the involved police officers."
2016,,,Ontario,"Nevertheless, given the two scenarios which can be observed on the video which had the potential to cause injury to the complainant’s head, namely the complainant possibly hitting his head on the advertising sign and the SO pressing on the back of the complainant’s neck/head with his knee, CW #7 explained that running into a sign with force was the likely cause of concussion because the pressure applied to the head in the manner depicted in the video could not have caused the complainant’s concussion."
2016,,Niagara,Ontario,"Although the complainant attributes her injury to the actions of the SO, it is clear from the video that the SO in fact took no part in removing the complainant from the cruiser, although he did assist once she was out and being placed on the floor."
2016,Ontario Provincial Police,Perth,Ontario,"With respect to the amount of force used by officers in their attempts to arrest and handcuff the complainant, on a review of all of the evidence, I find that their actions were justified in the circumstances and that they used no more force than necessary to effect the arrest of the complainant. Based on the information officers had at the time, that they were apprehending two armed men who had allegedly pointed a firearm at a 16-year-old and were alleged to have been discharging their firearm, the actions of the officers in executing a high risk apprehension at gun point and securing both gentlemen as quickly as possible was completely justified."
,,Toronto,Ontario,
2016,,Oakville,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I am, therefore, satisfied on reasonable grounds on this record that the degree of force exercised by the officers was justified in law and thus there are no grounds for proceeding with charges in this case."
2016,Niagara Regional Police Service,Welland,Ontario,"The issue before me is whether there are reasonable grounds to believe that SO #1 and /or SO #2 committed criminal negligence cause death and/or failure to provide the necessities of life for their role in the complainant’s death. Both offences require at the very minimum conduct that amounts to a marked and substantial departure from the conduct of a reasonably prudent person in all the circumstances. I do not believe that the evidence comes close to meeting this standard. In fact, in my opinion, there is no evidence that suggests that SO #1 or SO #2 were, in any way, responsible for the complainant’s death, by either act or omission. It is readily apparent that both officers did everything possible under the circumstances to determine whether the complainant, on March 31, 2016, was actively suicidal. There was nothing about his physical appearance or emotional presentation that would suggest that he was incapable of caring for himself. He appeared lucid and did not appear at all impaired by alcohol or drugs and was appropriately dressed for the temperature. Despite many opportunities, the complainant, to his detriment, was not forthcoming about the intensity of his suicidal intent with any of the police and emergency personnel at the scene. The officers checked with the hospital, who confirmed he had been there the day before but not for mental health issues. I have concluded that the complainant was the sole author of his demise. I am unable to find any fault with the investigation and conduct of either SO #1 or SO #2 that would give me reasonable grounds to believe they committed a criminal offence and as a result, no charges will issue."
2016,Toronto Police Service,Toronto,Ontario,"In the unlikely event that the complainant’s injuries may have been sustained when he was lawfully apprehended, arrested and handcuffed by the SO and WO #12, I do not find that their bringing a suspect fleeing from a Break and Enter in progress to the ground and putting their knees on his back to restrain him while he was being handcuffed constituted an excessive use of force as contemplated by s.25(1) of the Criminal Code."
2016,York Regional Police,Markham,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the complainant’s arrest and detention, and the manner in which they were carried out, were lawful notwithstanding the significant injury which he suffered. The jurisprudence is clear, officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluk [2010] 1 S.C.R. 6.). I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officer fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Greater Sudbury Police Service,,Ontario,"On all of the evidence, I find that the complainant went out of the second floor window of his own free will in order to evade police and that, in attempting to shimmy down the curtain, he lost his grip and fell and thereby fractured his leg. I find that no police officer had any hand in the complainant going out of the window or injuring his leg and that no officer used any force against the complainant whatsoever, other than to lift him up after he was injured and place him into a chair to await ambulance assistance. On this basis, I am satisfied on reasonable grounds on this record that none of the actions exercised by the officers fell outside of the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2016,Toronto Police Service,,Ontario,"Although I find that the complainant’s injury was caused by the TPS officers going to the ground with him and the complainant landing on his face, I find that pursuant to section 25(1) of the Criminal Code, the officers involved used no more force than was reasonably necessary in the execution of their lawful duties in apprehending an intoxicated, combative and extremely powerful man. I find that the degree of force with which the complainant’s face struck the ground may have been greater than perceived by the officers as the momentum increased with the officers falling with the complainant. The jurisprudence is clear, officers are not expected to measure the degree of their responsive force to a nicety (R. v. Baxter (1975) 27 C.C.C. (2d) 96 (Ont. C.A.)) nor should they be judged to a standard of perfection (R. v. Nasogaluk [2010] 1 S.C.R. 6.). As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and thus there are no grounds to believe they committed a criminal offence and no charges will issue."
2016,Peel Regional Police,Mississauga,Ontario,"Even if, however, the injuries to the complainant’s ribs were sustained during the course of police officers’ attempts to apprehend him, I find nevertheless that the officers acted within s. 25(1) of the Criminal Code and only exercised as much force as was necessary in order to take control of the complainant and effect a lawful arrest and ensure that no harm from secreted weapons came to any of the officers. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
